"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"SAMSUNG ELECTRONICS","QA65QN900AW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",308,"N/A","N/A",1127,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN900AS","Australia,Fiji,New Zealand",163.829,"LCD (LED)",308,"N/A","N/A",1127,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN900A","Australia,Fiji,New Zealand",163.829,"LCD (LED)",308,"N/A","N/A",1127,1,64,"Large"
"SAMSUNG ELECTRONICS","QA85QN900AW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",440,"N/A","N/A",1609,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN900AS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",440,"N/A","N/A",1609,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN900A","Australia,Fiji,New Zealand",214.783,"LCD (LED)",440,"N/A","N/A",1609,1,85,"Large"
"Polaroid","PL65UHDOS","Australia,Fiji,New Zealand",163.896,"LCD (LED)",92.66,"N/A","N/A",371,1,65,"Large"
"SAMSUNG ELECTRONICS","QA85QN800AW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",396,"N/A","N/A",1448,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN800AS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",396,"N/A","N/A",1448,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN800A","Australia,Fiji,New Zealand",214.783,"LCD (LED)",396,"N/A","N/A",1448,1,85,"Large"
"SAMSUNG ELECTRONICS","QA75QN800AW","Australia,Fiji,New Zealand",189.306,"LCD (LED)",336,"N/A","N/A",1229,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN800AS","Australia,Fiji,New Zealand",189.306,"LCD (LED)",336,"N/A","N/A",1229,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN800A","Australia,Fiji,New Zealand",189.306,"LCD (LED)",336,"N/A","N/A",1229,1,75,"Large"
"SAMSUNG ELECTRONICS","QA65QN800AW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",297,"N/A","N/A",1087,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN800AS","Australia,Fiji,New Zealand",163.829,"LCD (LED)",297,"N/A","N/A",1087,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN800A","Australia,Fiji,New Zealand",163.829,"LCD (LED)",297,"N/A","N/A",1087,1,64,"Large"
"SAMSUNG ELECTRONICS","QA55QN85AAW","Australia,Fiji,New Zealand",138.711,"LCD (LED)",132,"N/A","N/A",485,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55QN85AAS","Australia,Fiji,New Zealand",138.711,"LCD (LED)",132,"N/A","N/A",485,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55QN85AA","Australia,Fiji,New Zealand",138.711,"LCD (LED)",132,"N/A","N/A",485,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55QN90AAW","Australia,Fiji,New Zealand",138.711,"LCD (LED)",148,"N/A","N/A",543,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55QN90AAS","Australia,Fiji,New Zealand",138.711,"LCD (LED)",148,"N/A","N/A",543,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55QN90AA","Australia,Fiji,New Zealand",138.711,"LCD (LED)",148,"N/A","N/A",543,1,55,"Large"
"SAMSUNG ELECTRONICS","QA85QN85AAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",192,"N/A","N/A",704,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN85AAS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",192,"N/A","N/A",704,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN85AA","Australia,Fiji,New Zealand",214.783,"LCD (LED)",192,"N/A","N/A",704,1,85,"Large"
"SAMSUNG ELECTRONICS","QA75QN85AAW","Australia,Fiji,New Zealand",189.306,"LCD (LED)",165,"N/A","N/A",605,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN85AAS","Australia,Fiji,New Zealand",189.306,"LCD (LED)",165,"N/A","N/A",605,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN85AA","Australia,Fiji,New Zealand",189.306,"LCD (LED)",165,"N/A","N/A",605,1,75,"Large"
"SAMSUNG ELECTRONICS","QA50QN90AAW","Australia,Fiji,New Zealand",125.725,"LCD (LED)",108,"N/A","N/A",397,1,49,"Large"
"SAMSUNG ELECTRONICS","QA50QN90AAS","Australia,Fiji,New Zealand",125.725,"LCD (LED)",108,"N/A","N/A",397,1,49,"Large"
"SAMSUNG ELECTRONICS","QA50QN90AA","Australia,Fiji,New Zealand",125.725,"LCD (LED)",108,"N/A","N/A",397,1,49,"Large"
"SAMSUNG ELECTRONICS","QA75QN90AAW","Australia,Fiji,New Zealand",189.306,"LCD (LED)",198,"N/A","N/A",726,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN90AAS","Australia,Fiji,New Zealand",189.306,"LCD (LED)",198,"N/A","N/A",726,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75QN90AA","Australia,Fiji,New Zealand",189.306,"LCD (LED)",198,"N/A","N/A",726,1,75,"Large"
"SAMSUNG ELECTRONICS","UA43AU7000W","Australia,Fiji,New Zealand",107.95,"LCD (LED)",69,"N/A","N/A",255,1,42,"Large"
"SAMSUNG ELECTRONICS","UA43AU7000S","Australia,Fiji,New Zealand",107.95,"LCD (LED)",69,"N/A","N/A",255,1,42,"Large"
"SAMSUNG ELECTRONICS","UA43AU7000","Australia,Fiji,New Zealand",107.95,"LCD (LED)",69,"N/A","N/A",255,1,42,"Large"
"SAMSUNG ELECTRONICS","UA50AU7000W","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"SAMSUNG ELECTRONICS","UA50AU7000S","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"SAMSUNG ELECTRONICS","UA50AU7000","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"SAMSUNG ELECTRONICS","UA55AU7000W","Australia,Fiji,New Zealand",138.711,"LCD (LED)",84,"N/A","N/A",310,1,55,"Large"
"SAMSUNG ELECTRONICS","UA55AU7000S","Australia,Fiji,New Zealand",138.711,"LCD (LED)",84,"N/A","N/A",310,1,55,"Large"
"SAMSUNG ELECTRONICS","UA55AU7000","Australia,Fiji,New Zealand",138.711,"LCD (LED)",84,"N/A","N/A",310,1,55,"Large"
"SAMSUNG ELECTRONICS","UA58AU7000W","Australia,Fiji,New Zealand",146.039,"LCD (LED)",94,"N/A","N/A",346,1,57,"Large"
"SAMSUNG ELECTRONICS","UA58AU7000S","Australia,Fiji,New Zealand",146.039,"LCD (LED)",94,"N/A","N/A",346,1,57,"Large"
"SAMSUNG ELECTRONICS","UA58AU7000","Australia,Fiji,New Zealand",146.039,"LCD (LED)",94,"N/A","N/A",346,1,57,"Large"
"SAMSUNG ELECTRONICS","UA65AU7000W","Australia,Fiji,New Zealand",163.829,"LCD (LED)",116,"N/A","N/A",426,1,64,"Large"
"SAMSUNG ELECTRONICS","UA65AU7000S","Australia,Fiji,New Zealand",163.829,"LCD (LED)",116,"N/A","N/A",426,1,64,"Large"
"SAMSUNG ELECTRONICS","UA65AU7000","Australia,Fiji,New Zealand",163.829,"LCD (LED)",116,"N/A","N/A",426,1,64,"Large"
"SAMSUNG ELECTRONICS","UA75AU7000W","Australia,Fiji,New Zealand",189.306,"LCD (LED)",143,"N/A","N/A",525,1,75,"Large"
"SAMSUNG ELECTRONICS","UA75AU7000S","Australia,Fiji,New Zealand",189.306,"LCD (LED)",143,"N/A","N/A",525,1,75,"Large"
"SAMSUNG ELECTRONICS","UA75AU7000","Australia,Fiji,New Zealand",189.306,"LCD (LED)",143,"N/A","N/A",525,1,75,"Large"
"AKAI","AK6521NF","Australia,Fiji,New Zealand",163.896,"LCD (LED)",93.528,"N/A","N/A",362,1,65,"Large"
"Sony","XR-65A90J","Australia,New Zealand",163.878,"LCD (LED)",138.7,"N/A","N/A",514,1,65,"Large"
"Polaroid","PL55UHDOS","Australia",138.783,"LCD",77.2,"8.0","8.67488035874927",294,1,55,"Large"
"yokohama","YOKT65S8","Australia",164.782,"LCD (LED)",105.75,"N/A","N/A",389,1,65,"Large"
"TCL","50P615","Australia,Fiji,New Zealand",125.638,"LCD (LED)",49.6,"7.0","7.01172383841875",190,1,49,"Large"
"TCL","43S625","Australia,Fiji,New Zealand",107.95,"LCD (LED)",43.8,"7.0","7.01172383841875",180,1,42,"Large"
"Sony","XR-55A80J","Australia,New Zealand",138.798,"LCD (LED)",122,"N/A","N/A",454,1,55,"Large"
"Sony","XR-65A80J","Australia,New Zealand",163.878,"LCD (LED)",149.2,"N/A","N/A",553,1,65,"Large"
"Sony","XR-77A80J","Australia,New Zealand",194.726,"LCD (LED)",187.3,"N/A","N/A",693,1,77,"Large"
"Sony","XR-50X90J","Australia,New Zealand",125.725,"LCD (LED)",112.6,"N/A","N/A",421,1,49,"Large"
"Sony","XR-55X90J","Australia,New Zealand",138.798,"LCD (LED)",130.7,"N/A","N/A",487,1,55,"Large"
"Sony","XR-65X90J","Australia,New Zealand",163.878,"LCD (LED)",158.9,"N/A","N/A",590,1,65,"Large"
"Sony","XR-75X90J","Australia,New Zealand",189.306,"LCD (LED)",193.3,"N/A","N/A",715,1,75,"Large"
"yokohama","YOKT75S8","Australia",189.215,"LCD (LED)",196.41,"N/A","N/A",719,1,74,"Large"
"SONIQ","E42FV40A","Australia,New Zealand",105.659,"LCD",46.6,"N/A","N/A",178,1,42,"Large"
"SONIQ","W65UV40A","Australia,New Zealand",163.965,"LCD",132.4,"N/A","N/A",490,1,65,"Large"
"BLAUPUNKT","BP580USG9500","Australia",145.865,"LCD (LED)",105.8,"N/A","N/A",468,1,57,"Large"
"BLAUPUNKT","BP580USG9700Q","Australia",145.82,"LCD (LED)",75.7,"N/A","N/A",298,1,57,"Large"
